Zeiten gesamt;Vorbereitungsszeit;Inferenzzeit;Verarbeitungszeit;Groesse;Name;Modell
0.748535;0.603364;0.096193;0.040027;114981; image75;SSD MobileNet v2
0.728247;0.559802;0.105017;0.058570;155326; image76;SSD MobileNet v2
0.722697;0.578265;0.098758;0.042300;186154; image77;SSD MobileNet v2
0.736816;0.598572;0.101723;0.034744;81337; image78;SSD MobileNet v2
0.754502;0.597332;0.104239;0.050028;117545; image79;SSD MobileNet v2
0.737890;0.596810;0.100449;0.038861;75280; image80;SSD MobileNet v2
0.741801;0.591198;0.106013;0.034834;107835; image81;SSD MobileNet v2
0.743325;0.600630;0.102521;0.038712;189529; image82;SSD MobileNet v2
0.748872;0.605508;0.103458;0.036576;94812; image83;SSD MobileNet v2
1.067552;0.908002;0.103628;0.054898;90540; image84;SSD MobileNet v2
0.542751;0.410743;0.101123;0.028594;99165; image85;SSD MobileNet v2
0.700830;0.549152;0.117940;0.032716;78502; image86;SSD MobileNet v2
0.698295;0.556816;0.103869;0.036640;125658; image87;SSD MobileNet v2
0.718432;0.576342;0.103336;0.037029;130969; image88;SSD MobileNet v2
0.727924;0.584539;0.102735;0.038827;113074; image89;SSD MobileNet v2
0.607080;0.475353;0.102870;0.027821;36113; image90;SSD MobileNet v2
0.335067;0.220779;0.098059;0.014988;17013; image91;SSD MobileNet v2
0.527157;0.388814;0.110829;0.025878;52255; image92;SSD MobileNet v2
0.593447;0.469383;0.101059;0.021983;45158; image93;SSD MobileNet v2
0.702949;0.563881;0.104498;0.033328;61296; image94;SSD MobileNet v2
0.166432;0.051748;0.103797;0.009367;13805; image95;SSD MobileNet v2
0.556448;0.415957;0.102104;0.030910;127504; image96;SSD MobileNet v2
0.815036;0.672035;0.099796;0.041009;199252; image97;SSD MobileNet v2
0.753972;0.576332;0.106169;0.067467;156151; image98;SSD MobileNet v2
0.737515;0.599576;0.101232;0.035654;134013; image99;SSD MobileNet v2
0.843712;0.683767;0.102849;0.054590;310439; image100;SSD MobileNet v2
0.164547;0.053445;0.095621;0.013117;12622; image101;SSD MobileNet v2
0.648494;0.504571;0.100808;0.040695;68909; image102;SSD MobileNet v2
0.823320;0.656811;0.120396;0.044325;158761; image103;SSD MobileNet v2
1.861287;0.709366;1.109105;0.040552;99258; image2;EfficientDet D1
1.608799;0.549144;1.022038;0.037134;53860; image3;EfficientDet D1
1.699286;0.585555;1.070707;0.040491;80367; image4;EfficientDet D1
1.722166;0.584656;1.094001;0.041253;113572; image5;EfficientDet D1
1.706825;0.605076;1.056403;0.041785;84649; image6;EfficientDet D1
1.802942;0.658727;1.071882;0.070311;89931; image7;EfficientDet D1
3.074520;1.106501;1.873223;0.088834;127682; image8;EfficientDet D1
3.583385;1.728806;1.776343;0.069368;234274; image9;EfficientDet D1
2.934498;1.101777;1.763540;0.064515;120329; image10;EfficientDet D1
3.052219;1.010575;1.986522;0.051945;76042; image11;EfficientDet D1
1.784818;0.662556;1.081737;0.037122;61060; image12;EfficientDet D1
2.050582;0.907723;1.076800;0.062399;193722; image13;EfficientDet D1
1.740390;0.620701;1.074936;0.041560;53569; image14;EfficientDet D1
1.915558;0.878165;0.980376;0.054741;89915; image15;EfficientDet D1
1.673457;0.611517;1.023478;0.036793;72731; image16;EfficientDet D1
1.944866;0.901200;0.980650;0.060316;145966; image17;EfficientDet D1
1.694874;0.663420;0.975479;0.054907;222223; image18;EfficientDet D1
2.002297;0.604912;1.343977;0.049747;50392; image19;EfficientDet D1
1.715815;0.103868;1.596808;0.013852;13742; image20;EfficientDet D1
2.848184;1.162799;1.642934;0.041945;43737; image21;EfficientDet D1
2.817592;1.111648;1.632972;0.067589;114016; image22;EfficientDet D1
2.840321;1.083159;1.696934;0.057376;186288; image23;EfficientDet D1
2.407945;1.076081;1.288052;0.039927;120769; image24;EfficientDet D1
1.665136;0.583276;1.043279;0.035639;81936; image25;EfficientDet D1
1.829506;0.667350;1.072829;0.083492;173711; image26;EfficientDet D1
1.697254;0.607740;1.025440;0.061954;176606; image27;EfficientDet D1
1.618355;0.598812;0.975514;0.043447;90089; image28;EfficientDet D1
1.692675;0.608897;1.037159;0.041724;150503; image29;EfficientDet D1
1.619838;0.591842;0.987997;0.035620;87159; image30;EfficientDet D1
1.048426;0.051342;0.984829;0.009160;14053; image31;EfficientDet D1
1.034028;0.054403;0.966738;0.010688;10151; image32;EfficientDet D1
1.583709;0.599820;0.942257;0.039360;120622; image33;EfficientDet D1
1.225065;0.217495;0.985002;0.019031;34572; image34;EfficientDet D1
1.173352;0.222700;0.931622;0.017622;21610; image35;EfficientDet D1
1.126082;0.151578;0.960020;0.013505;21125; image36;EfficientDet D1
1.380530;0.362336;0.986989;0.024332;54175; image37;EfficientDet D1
1.810584;0.731850;1.016351;0.060211;82218; image38;EfficientDet D1
1.510588;0.411058;1.070859;0.025781;35768; image39;EfficientDet D1
1.568288;0.534972;1.001494;0.029646;39957; image40;EfficientDet D1
1.685922;0.607354;1.039301;0.035426;64533; image41;EfficientDet D1
1.648519;0.619417;0.989839;0.037840;108233; image42;EfficientDet D1
1.768604;0.610178;1.113053;0.042138;140182; image43;EfficientDet D1
1.099163;0.077074;1.011310;0.009353;16522; image44;EfficientDet D1
1.638081;0.620525;0.969031;0.046666;171547; image45;EfficientDet D1
2.688881;1.085384;1.562538;0.039102;119855; image46;EfficientDet D1
1.503107;0.325091;1.152671;0.023985;40434; image47;EfficientDet D1
2.425739;0.753321;1.628658;0.041152;34472; image48;EfficientDet D1
3.101332;1.241940;1.790669;0.063235;59974; image49;EfficientDet D1
2.926442;1.116996;1.743515;0.064464;73668; image50;EfficientDet D1
2.998261;1.113210;1.824018;0.059083;141496; image51;EfficientDet D1
2.847362;1.627234;1.166032;0.052119;79983; image52;EfficientDet D1
1.595545;0.487982;1.069188;0.036101;74288; image53;EfficientDet D1
2.010451;0.939370;1.016160;0.052074;93590; image54;EfficientDet D1
1.531187;0.477751;1.020067;0.031622;66215; image55;EfficientDet D1
1.665860;0.631221;0.995302;0.036726;78282; image56;EfficientDet D1
1.625173;0.525666;1.067442;0.031261;66992; image57;EfficientDet D1
1.833822;0.692457;1.098777;0.040435;77841; image58;EfficientDet D1
1.577348;0.470369;1.075724;0.029643;74031; image59;EfficientDet D1
1.543986;0.471807;1.039620;0.028096;54085; image60;EfficientDet D1
1.292984;0.216974;1.054934;0.018765;40951; image61;EfficientDet D1
1.667653;0.611397;1.010047;0.043429;99265; image62;EfficientDet D1
1.759975;0.637048;1.079642;0.040333;92587; image63;EfficientDet D1
1.771352;0.610245;1.108870;0.050412;161943; image64;EfficientDet D1
1.655454;0.625844;0.991992;0.036982;139815; image65;EfficientDet D1
1.683490;0.610802;1.039097;0.030836;80058; image66;EfficientDet D1
1.478458;0.373659;1.068841;0.032789;94473; image67;EfficientDet D1
1.603741;0.584840;0.972242;0.046173;175845; image68;EfficientDet D1
1.722896;0.630488;1.042963;0.047693;297356; image69;EfficientDet D1
1.722697;0.600662;1.076592;0.042754;135926; image70;EfficientDet D1
1.932698;0.703002;1.177475;0.050597;124688; image71;EfficientDet D1
1.790670;0.607441;1.136582;0.044250;82471; image72;EfficientDet D1
1.443839;0.314764;1.107093;0.021454;29442; image73;EfficientDet D1
1.763381;0.696770;1.029350;0.035773;63365; image74;EfficientDet D1
1.763134;0.606271;1.108911;0.044318;114981; image75;EfficientDet D1
1.783409;0.602964;1.122114;0.056923;155326; image76;EfficientDet D1
1.790002;0.646383;1.090568;0.048892;186154; image77;EfficientDet D1
1.771868;0.649282;1.072219;0.043471;81337; image78;EfficientDet D1
1.788734;0.647628;1.076015;0.062715;117545; image79;EfficientDet D1
1.745801;0.635534;1.068088;0.039039;75280; image80;EfficientDet D1
1.676848;0.624482;1.008084;0.041490;107835; image81;EfficientDet D1
1.840119;0.629067;1.152331;0.055669;189529; image82;EfficientDet D1
1.747678;0.620544;1.083227;0.039328;94812; image83;EfficientDet D1
2.100079;0.916758;1.109959;0.066985;90540; image84;EfficientDet D1
1.691188;0.462737;1.191339;0.035146;99165; image85;EfficientDet D1
1.646960;0.591184;1.010018;0.044362;78502; image86;EfficientDet D1
1.628783;0.583292;0.994288;0.047919;125658; image87;EfficientDet D1
1.668268;0.592944;1.032760;0.040899;130969; image88;EfficientDet D1
2.079561;0.617452;1.396108;0.056915;113074; image89;EfficientDet D1
2.696990;0.975382;1.678985;0.039994;36113; image90;EfficientDet D1
2.140314;0.488128;1.625097;0.022274;17013; image91;EfficientDet D1
2.388048;0.714603;1.634909;0.037952;52255; image92;EfficientDet D1
2.669124;0.910156;1.706405;0.050537;45158; image93;EfficientDet D1
2.889806;1.044211;1.784897;0.058676;61296; image94;EfficientDet D1
1.261427;0.097198;1.128125;0.031923;13805; image95;EfficientDet D1
1.510689;0.434034;1.024862;0.050159;127504; image96;EfficientDet D1
1.848177;0.726567;1.078003;0.041953;199252; image97;EfficientDet D1
1.739466;0.611274;1.080411;0.044904;156151; image98;EfficientDet D1
1.747423;0.624522;1.071446;0.048781;134013; image99;EfficientDet D1
1.788465;0.715096;1.014123;0.057496;310439; image100;EfficientDet D1
1.087765;0.055827;1.009901;0.019006;12622; image101;EfficientDet D1
1.510347;0.507364;0.966843;0.035094;68909; image102;EfficientDet D1
1.707977;0.679568;0.980511;0.046158;158761; image103;EfficientDet D1
13.335294;0.888988;12.315027;0.037684;109303;image1;Faster-R-CNN ResNet101 V1
14.195135;1.584200;12.451441;0.029375;99258; image2;Faster-R-CNN ResNet101 V1
20.988358;2.247659;18.463080;0.052650;53860; image3;Faster-R-CNN ResNet101 V1
7.817504;1.441273;6.309851;0.011829;80367; image4;Faster-R-CNN ResNet101 V1
7.116005;0.644674;6.402644;0.012427;113572; image5;Faster-R-CNN ResNet101 V1
6.238399;0.598506;5.603208;0.006883;84649; image6;Faster-R-CNN ResNet101 V1
6.329988;0.674448;5.581415;0.013841;89931; image7;Faster-R-CNN ResNet101 V1
6.680981;0.592559;6.032467;0.010011;127682; image8;Faster-R-CNN ResNet101 V1
7.199147;0.868339;6.279878;0.009456;234274; image9;Faster-R-CNN ResNet101 V1
6.282510;0.595261;5.645719;0.007531;120329; image10;Faster-R-CNN ResNet101 V1
6.676593;0.576537;6.034800;0.011720;76042; image11;Faster-R-CNN ResNet101 V1
6.831733;0.593646;6.168981;0.012429;61060; image12;Faster-R-CNN ResNet101 V1
13.981058;1.810657;11.792990;0.070591;193722; image13;Faster-R-CNN ResNet101 V1
6.907566;0.617965;6.228743;0.010943;53569; image14;Faster-R-CNN ResNet101 V1
6.923020;0.874212;5.989872;0.010907;89915; image15;Faster-R-CNN ResNet101 V1
6.227343;0.595832;5.577309;0.010048;72731; image16;Faster-R-CNN ResNet101 V1
7.082870;0.869105;6.101516;0.020819;145966; image17;Faster-R-CNN ResNet101 V1
7.789413;0.653174;7.025299;0.020052;222223; image18;Faster-R-CNN ResNet101 V1
6.447682;0.599580;5.819320;0.005310;50392; image19;Faster-R-CNN ResNet101 V1
5.620096;0.043427;5.566215;0.001770;13742; image20;Faster-R-CNN ResNet101 V1
6.786213;0.544110;6.208930;0.005812;43737; image21;Faster-R-CNN ResNet101 V1
6.778627;0.589911;6.136508;0.009454;114016; image22;Faster-R-CNN ResNet101 V1
10.035852;0.608671;9.323046;0.019488;186288; image23;Faster-R-CNN ResNet101 V1
8.838034;1.067128;7.704730;0.012111;120769; image24;Faster-R-CNN ResNet101 V1
6.316146;0.584230;5.691774;0.007089;81936; image25;Faster-R-CNN ResNet101 V1
6.456133;0.685014;5.689694;0.015331;173711; image26;Faster-R-CNN ResNet101 V1
