Zeiten gesamt;Vorbereitungsszeit;Inferenzzeit;Verarbeitungszeit;Groesse;Name;Modell
1.398653;0.892609;0.456378;0.049171;79983; image52;EfficientDet D0
0.905791;0.456795;0.414843;0.031759;74288; image53;EfficientDet D0
1.331035;0.879654;0.396868;0.052138;93590; image54;EfficientDet D0
0.888593;0.461448;0.396334;0.029400;66215; image55;EfficientDet D0
1.084289;0.615232;0.423618;0.040066;78282; image56;EfficientDet D0
0.951049;0.492157;0.422939;0.031332;66992; image57;EfficientDet D0
1.117161;0.663303;0.408871;0.040246;77841; image58;EfficientDet D0
0.946586;0.456412;0.454477;0.031765;74031; image59;EfficientDet D0
0.948447;0.449574;0.440613;0.055102;54085; image60;EfficientDet D0
0.634243;0.204332;0.406998;0.017362;40951; image61;EfficientDet D0
1.094762;0.600238;0.452662;0.039519;99265; image62;EfficientDet D0
1.133086;0.640522;0.449332;0.038649;92587; image63;EfficientDet D0
1.063383;0.595474;0.419090;0.046497;161943; image64;EfficientDet D0
1.078951;0.606665;0.431319;0.038127;139815; image65;EfficientDet D0
1.085099;0.614153;0.439774;0.029167;80058; image66;EfficientDet D0
0.824184;0.355677;0.433966;0.030617;94473; image67;EfficientDet D0
1.031901;0.545847;0.432348;0.051787;175845; image68;EfficientDet D0
1.086299;0.609451;0.423286;0.049154;297356; image69;EfficientDet D0
1.056071;0.588565;0.417314;0.046507;135926; image70;EfficientDet D0
1.408866;0.708755;0.648778;0.050849;124688; image71;EfficientDet D0
1.890053;1.141322;0.696764;0.049173;82471; image72;EfficientDet D0
1.362959;0.614974;0.713681;0.030385;29442; image73;EfficientDet D0
2.065639;1.250079;0.737557;0.069788;63365; image74;EfficientDet D0
1.862941;1.074226;0.730843;0.055905;114981; image75;EfficientDet D0
1.815333;1.026943;0.708111;0.076422;155326; image76;EfficientDet D0
1.837702;1.038921;0.737492;0.058107;186154; image77;EfficientDet D0
1.699079;1.076580;0.568575;0.048139;81337; image78;EfficientDet D0
1.072456;0.598857;0.409842;0.062198;117545; image79;EfficientDet D0
1.017772;0.577756;0.399594;0.039970;75280; image80;EfficientDet D0
1.080035;0.624781;0.405988;0.041432;107835; image81;EfficientDet D0
1.071952;0.594857;0.422922;0.050718;189529; image82;EfficientDet D0
1.090014;0.609522;0.434987;0.043651;94812; image83;EfficientDet D0
1.385022;0.918204;0.415686;0.050140;90540; image84;EfficientDet D0
0.836426;0.404011;0.396738;0.031468;99165; image85;EfficientDet D0
1.014519;0.565919;0.408877;0.037417;78502; image86;EfficientDet D0
1.030583;0.569367;0.420155;0.038328;125658; image87;EfficientDet D0
1.060875;0.566740;0.447431;0.042572;130969; image88;EfficientDet D0
1.057157;0.588196;0.418475;0.049538;113074; image89;EfficientDet D0
0.936962;0.454411;0.435371;0.044210;36113; image90;EfficientDet D0
0.640560;0.222058;0.396416;0.017851;17013; image91;EfficientDet D0
0.812089;0.368248;0.413542;0.024528;52255; image92;EfficientDet D0
0.935186;0.457633;0.443949;0.032340;45158; image93;EfficientDet D0
1.029924;0.564130;0.430539;0.032581;61296; image94;EfficientDet D0
0.430573;0.042514;0.376200;0.009814;13805; image95;EfficientDet D0
0.875280;0.427308;0.413855;0.031593;127504; image96;EfficientDet D0
1.130380;0.672199;0.410049;0.046786;199252; image97;EfficientDet D0
1.055308;0.596929;0.412247;0.044078;156151; image98;EfficientDet D0
1.054192;0.603658;0.399651;0.049550;134013; image99;EfficientDet D0
1.210300;0.701201;0.445742;0.061424;310439; image100;EfficientDet D0
0.457095;0.040948;0.397406;0.016453;12622; image101;EfficientDet D0
0.961572;0.494314;0.432576;0.031996;68909; image102;EfficientDet D0
1.141916;0.655193;0.435054;0.050061;158761; image103;EfficientDet D0
